Character Number	State Number	SimJ Partial Precision
188	2	0.42857142857142855
188	1	0.42857142857142855
188	0	1.0
186	2	0.06666666666666667
186	1	0.15384615384615385
186	3	0.43104334757158674
186	0	0.4936441680627727
155	0	0.0
155	1	0.0
43	1	0.16744186046511628
43	2	0.08759124087591241
43	0	0.0
54	1	0.0
54	0	0.0
156	1	1.0
156	0	1.0
189	1	0.048
189	0	0.0010613457864572277
29	1	0.0
29	0	0.0
140	1	0.0
140	0	0.0
173	0	0.43548387096774194
173	1	0.43548387096774194
39	2	0.0
39	3	0.0
39	1	0.0
39	0	0.0
134	0	0.0
134	2	1.0
134	1	0.0
144	1	0.0
144	0	0.0
114	0	0.0
114	1	0.0
171	0	0.12389380530973451
171	1	0.0
77	1	0.0
77	0	0.002772002772002772
41	1	0.16937216519455717
41	0	0.0
24	1	0.0
24	0	0.0
191	1	0.0
191	0	0.0
34	2	0.0
34	1	0.0
34	0	0.0
34	3	0.0
1	2	0.1563072133122024
1	0	0.058230707583981633
1	1	0.2313654160128077
52	1	0.0
52	0	0.0
138	1	1.0
138	0	1.0
116	0	0.0004717908393945351
116	1	0.0004717908393945351
197	1	0.7719298245614035
197	0	0.0
50	0	0.0
50	1	0.0
203	1	0.0
203	0	0.0
202	1	0.0
202	0	0.0
124	1	0.6818181818181818
124	0	0.35587188612099646
151	1	0.0
151	0	0.0
111	0	0.0016018885422814265
111	1	0.08640291041382446
110	2	0.0
110	1	0.0
110	0	0.0
92	0	0.0
92	1	0.49484000670128997
57	1	0.0
57	0	0.3741496598639456
120	0	0.9139784946236559
120	1	0.0
121	0	0.04456824512534819
121	1	0.0
117	1	0.0
117	0	0.0
63	1	0.5028409090909091
63	0	1.0
48	1	0.243828442229605
48	0	0.0
48	2	0.503057960839379
90	1	0.0009303407372950343
90	0	0.0009303407372950343
168	1	0.0
168	0	0.054016620498614956
19	1	0.0
19	2	0.9659090909090909
19	0	0.0
2	1	0.0
2	0	0.0
142	2	0.5098039215686274
142	1	1.0
142	0	0.5098039215686274
103	1	0.0
