Character Number	State Number	SimJ Score	NIC Score
1	0	0.9649122807017544	0.8597206924451644
1	1	1.0	0.8268156128434346
1	2	1.0	0.8248095226320111
2	0	0.2972972972972973	0.6505013075353273
2	1	0.2972972972972973	0.6566232519614911
3	0	0.12216404886561955	0.8597206924451644
3	1	0.12216404886561955	0.8597206924451644
4	0	0.012658227848101266	0.6731776663601582
4	1	0.4	0.6731776663601582
5	0	0.24	0.7210940075812852
5	1	0.34782608695652173	0.7691046685903521
5	2	0.0	0.0
6	0	0.7798165137614679	0.7841668206698776
6	1	0.5751014884979703	0.8310702894968192
6	2	0.7798165137614679	0.8725396812405707
6	3	0	0
6	4	0	0
7	0	0.06666666666666667	0.8110151838744357
7	1	0.09144542772861357	0.8110151838744357
8	0	0.6888888888888889	0.8776059016200373
8	1	0.10130718954248366	0.8110151838744357
9	0	0.10864197530864197	0.6964617862407121
9	1	0.07801418439716312	0.6964617862407121
10	0	0.85	0.8832063484213408
10	1	0.85	0.9144501965246544
10	2	0.85	0.8832063484213408
11	0	0.529045643153527	0.7295684019380646
11	1	0.7024793388429752	0.8776059016200373
12	0	0.9459459459459459	0.8157785254769148
12	1	0.9459459459459459	0.8110151838744357
13	0	0.002150537634408602	0.6912677123262579
13	1	0.002577319587628866	0.6912677123262579
14	0	0.6666666666666666	0.8268156128434346
14	1	1.0	0.8597206924451644
15	0	0.46153846153846156	0.8463620535167237
15	1	1.0	0.8832063484213408
16	0	0.10591155649535718	0.8526228203815318
16	1	0.10591155649535718	0.8526228203815318
17	0	0.8429548563611491	0.9047588793060533
17	1	0.8429548563611491	0.8965649873497815
18	0	0.8355916892502259	0.8832063484213408
18	1	0.8355916892502259	0.8636599077480517
19	0	0.39351851851851855	0.556713149464945
19	1	0.4370179948586118	0.8560533707353247
19	2	0.9770114942528736	0.7841668206698776
20	0	1.0	0.8679145844014362
20	1	1.0	0.8679145844014362
21	0	0.14285714285714285	0.8526228203815318
21	1	0.14285714285714285	0.8526228203815318
22	0	1.0	0.8965649873497815
22	1	1.0	0.9263114101907659
23	0	0.1378579003181336	0.8210111155744947
23	1	0.1378579003181336	0.8210111155744947
24	0	0.2676795442051077	0.8381681615604518
24	1	0.2676795442051077	0.8381681615604518
25	0	0.9010989010989011	0.8494003136653085
25	1	0.9010989010989011	0.8494003136653085
26	0	0.22893954410307235	0.805263081958722
26	1	0.8716981132075472	0.8434881059612479
27	0	0.11753371868978806	0.6083353031306579
27	1	0.11753371868978806	0.6083353031306579
28	0	0.4533333333333333	0.8832063484213408
28	1	0.8	0.9047588793060533
29	0	0.24528301886792453	0.8080613639049171
29	1	0.2549019607843137	0.8039173118108033
30	0	0.6666666666666666	0.8526228203815318
30	1	0.5714285714285714	0.8526228203815318
31	0	0.3013698630136986	0.8894671152861489
31	1	0.19642857142857142	0.8494003136653085
32	0	0.38571428571428573	0.7920560981446916
32	1	0.38571428571428573	0.7920560981446916
33	0	1.0	0.8894671152861489
33	1	1.0	0.8832063484213408
33	2	0.9701492537313433	0.8381681615604518
33	3	1.0	0.8597206924451644
33	4	1.0	0.8407616067154203
34	0	0.15585372593570573	0.8434881059612479
34	1	0.5886792452830188	0.8494003136653085
34	2	0.7222222222222222	0.8526228203815318
