Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
188	2	CP_EQ_1	EQ_1	0.42857142857142855	0.8033149520414808
188	1	CP_EQ_1	EQ_1	0.42857142857142855	0.8033149520414808
188	0	CP_EQ_1	EQ_1	1.0	0.8402724314458849
186	2	CP_EQ_1	EQ_1	0.06666666666666667	0.42425716372686534
186	2	CP_EQ_2	EQ_1	0.0	0.0
186	1	CP_EQ_1	EQ_1	0.1111111111111111	0.7544598217005779
186	1	CP_EQ_2	EQ_1	0.0	0.0
186	1	CP_EQ_3	EQ_1	0.15384615384615385	0.7774284655842547
186	1	CP_EQ_4	EQ_1	0.0	0.0
186	3	CP_EQ_1	EQ_1	0.1111111111111111	0.7544598217005779
186	3	CP_EQ_1	EQ_2	0.07392996108949416	0.42425716372686534
186	3	CP_EQ_1	EQ_3	0.4489795918367347	0.669290902335665
186	3	CP_EQ_1	EQ_4	0.4583333333333333	0.669290902335665
186	3	CP_EQ_2	EQ_1	0.0	0.0
186	3	CP_EQ_2	EQ_2	0.0	0.0
186	3	CP_EQ_2	EQ_3	0.0	0.0
186	3	CP_EQ_2	EQ_4	0.0	0.0
186	3	CP_EQ_3	EQ_1	0.375	0.7835037880211821
186	3	CP_EQ_3	EQ_2	0.4418604651162791	0.8204612674255862
186	3	CP_EQ_3	EQ_3	0.07432432432432433	0.42425716372686534
186	3	CP_EQ_3	EQ_4	0.07534246575342465	0.42425716372686534
186	3	CP_EQ_4	EQ_1	0.0	0.0
186	3	CP_EQ_4	EQ_2	0.0	0.0
186	3	CP_EQ_4	EQ_3	0.0	0.0
186	3	CP_EQ_4	EQ_4	0.0	0.0
186	3	CP_EQ_5	EQ_1	0.042801556420233464	0.3713515293132601
186	3	CP_EQ_5	EQ_2	0.046153846153846156	0.3901158839842132
186	3	CP_EQ_5	EQ_3	0.43243243243243246	0.6901594212782762
186	3	CP_EQ_5	EQ_4	0.4444444444444444	0.6901594212782762
186	0	CP_EQ_1	EQ_1	0.1111111111111111	0.7544598217005779
