Character Number	State Number	SimJ Partial Precision
98	1	0.0
98	2	0.08887408394403731
99	0	0.9833333333333333
99	1	0.9833333333333333
100	0	0.9714285714285714
100	1	0.0
101	0	0.0
101	1	0.0
102	0	0.1092314118629908
102	1	0.017857142857142856
102	2	1.0
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.5634920634920635
105	0	0.0
105	1	0.0
106	0	0.0
106	1	0.06421821305841924
107	0	0.3783783783783784
107	1	0.3783783783783784
108	0	0.0
108	1	0.0
109	0	1.0
109	1	1.0
110	0	0.0
110	1	0.0
110	2	0.0
111	0	0.0016018885422814265
111	1	0.00791007493755204
112	0	0.0
112	1	0.0
113	0	0.0
113	1	0.0
114	0	0.0
114	1	0.0
115	0	0.0
115	1	0.0
115	2	0.0
115	3	0.0
116	0	0.0004717908393945351
116	1	0.0004717908393945351
117	0	0.0
117	1	0.0
118	0	1.0
118	1	1.0
119	0	0.0
119	1	0.0
120	0	0.9139784946236559
120	1	0.0
121	0	0.01651376146788991
121	1	0.018329938900203666
122	0	0.0
122	1	0.004022121669180492
123	0	0.0
123	1	0.0
124	0	0.35587188612099646
124	1	0.6818181818181818
125	0	0.0
125	1	0.4870013844423293
125	2	0.0
126	0	0.0
126	1	0.0
127	0	0.04774223460328749
127	1	0.5163237438072684
127	2	0.0913907284768212
128	0	0.0
128	1	0.0
129	0	0.0
129	1	0.2848649105847082
130	0	0.0
130	1	0.0
131	0	0.0
131	1	0.0
132	0	0.2797427652733119
132	1	0.7317073170731707
133	0	0.0
133	1	0.0
134	0	0.0
134	1	0.0
134	2	0.0
135	0	0.32038834951456313
135	1	0.32038834951456313
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.0
138	0	1.0
138	1	1.0
139	0	0.0
139	1	0.2978723404255319
140	0	0.0
140	1	0.0
141	0	0.005780346820809248
141	1	0.007518796992481203
142	0	0.5098039215686274
142	1	1.0
142	2	0.5098039215686274
143	0	0.0
143	1	0.0
144	0	0.0
144	1	0.0
145	0	0.0
145	1	0.0
145	2	0.0
145	3	0.0
146	0	0.0047983548497657945
146	1	0.0059621827267049
147	0	0.9310344827586207
147	1	0.9310344827586207
148	0	0.0
148	1	0.0
148	2	0.0
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.0
151	1	0.0
152	0	0.0
152	1	0.0
153	0	0.19298245614035087
153	1	0.19298245614035087
154	0	0.0
154	1	0.0
155	0	0.0
155	1	0.0
156	0	0.0
156	1	0.0
157	0	1.0
157	1	1.0
158	0	0.0
158	1	0.1
159	0	0.002392007879555368
159	1	0.0028633990230756273
160	0	0.0
160	1	0.0
161	0	0.0
161	1	0.0
162	0	1.0
162	1	1.0
163	0	0.8
163	1	1.0
164	0	0.007592675301473872
164	1	0.00950889361226088
165	0	0.021929824561403508
165	1	0.023611345967639183
166	0	0.4524177004981928
166	1	0.0
166	2	0.0
167	0	0.0
167	1	0.0
168	0	0.0
168	1	0.0
169	0	0.0
169	1	0.0
170	0	0.0
170	1	1.0
170	2	1.0
171	0	0.12389380530973451
171	1	0.0
172	0	0.0
172	1	0.0
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.3214285714285714
175	1	0.29545454545454547
176	0	0.0
176	1	0.0
177	0	1.0
177	1	1.0
178	0	0.0
178	1	0.0
179	0	0.0
179	1	0.0
180	0	1.0
180	1	1.0
180	2	1.0
